relation_id,source_node_id,source_node_type,source_source_id,target_node_id,target_node_type,target_source_id,relation_type,description,target_citation,target_resolution,source_reference,candidate_confidence,review_status,reviewer_id
REL_00001,SHL_SONGBEN_0001,clause,SHSRC0033,SHL_SONGBEN_0002,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00002,SHL_SONGBEN_0002,clause,SHSRC0033,SHL_SONGBEN_0003,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00003,SHL_SONGBEN_0003,clause,SHSRC0033,SHL_SONGBEN_0004,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00004,SHL_SONGBEN_0004,clause,SHSRC0033,SHL_SONGBEN_0005,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00005,SHL_SONGBEN_0005,clause,SHSRC0033,SHL_SONGBEN_0006,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00006,SHL_SONGBEN_0006,clause,SHSRC0033,SHL_SONGBEN_0007,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00007,SHL_SONGBEN_0007,clause,SHSRC0033,SHL_SONGBEN_0008,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00008,SHL_SONGBEN_0008,clause,SHSRC0033,SHL_SONGBEN_0009,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00009,SHL_SONGBEN_0009,clause,SHSRC0033,SHL_SONGBEN_0010,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00010,SHL_SONGBEN_0010,clause,SHSRC0033,SHL_SONGBEN_0011,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00011,SHL_SONGBEN_0011,clause,SHSRC0033,SHL_SONGBEN_0012,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00012,SHL_SONGBEN_0012,clause,SHSRC0033,SHL_SONGBEN_0013,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00013,SHL_SONGBEN_0013,clause,SHSRC0033,SHL_SONGBEN_0014,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00014,SHL_SONGBEN_0014,clause,SHSRC0033,SHL_SONGBEN_0015,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00015,SHL_SONGBEN_0015,clause,SHSRC0033,SHL_SONGBEN_0016,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00016,SHL_SONGBEN_0016,clause,SHSRC0033,SHL_SONGBEN_0017,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00017,SHL_SONGBEN_0017,clause,SHSRC0033,SHL_SONGBEN_0018,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00018,SHL_SONGBEN_0018,clause,SHSRC0033,SHL_SONGBEN_0019,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00019,SHL_SONGBEN_0019,clause,SHSRC0033,SHL_SONGBEN_0020,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00020,SHL_SONGBEN_0020,clause,SHSRC0033,SHL_SONGBEN_0021,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00021,SHL_SONGBEN_0021,clause,SHSRC0033,SHL_SONGBEN_0022,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00022,SHL_SONGBEN_0022,clause,SHSRC0033,SHL_SONGBEN_0023,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00023,SHL_SONGBEN_0023,clause,SHSRC0033,SHL_SONGBEN_0024,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00024,SHL_SONGBEN_0024,clause,SHSRC0033,SHL_SONGBEN_0025,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00025,SHL_SONGBEN_0025,clause,SHSRC0033,SHL_SONGBEN_0026,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
REL_00026,SHL_SONGBEN_0026,clause,SHSRC0033,SHL_SONGBEN_0027,clause,SHSRC0033,sequence,同篇相鄰條文（並列/遞進語境）,,direct_clause_id,{},0.7,pending,
