clause_id,source_id,book_title,version,canonical_clause_no,chapter,six_channel,text_type,clause_layer,original_text,normalized_text,contains_formula,formula_names,formula_blocks,symptoms,negated_findings,pulse,disease_patterns,therapy_terms,contraindication_terms,mistreatment_terms,transformation_terms,prognosis_terms,herbs,time_course,collation_notes,logic_words,sha256,review_status,reviewer_id,source_resolution
SHL_SONGBEN_0001,SHSRC0033,傷寒論（宋本）,songben,1.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽之為病，脈浮，頭項強痛而惡寒。,太陽之為病，脈浮，頭項強痛而惡寒。,False,[],[],"[""頭項強痛"", ""惡寒""]",[],"[""浮""]",[],[],[],[],[],[],[],[],[],[],acd49a29dd42c211859b47cd778071a5c7294d8a354fb04d97d63aa584c64392,pending,,text_match_multi
SHL_SONGBEN_0002,SHSRC0033,傷寒論（宋本）,songben,2.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，發熱，汗出，惡風，脈緩者，名為中風。,太陽病，發熱，汗出，惡風，脈緩者，名為中風。,False,[],[],"[""發熱"", ""汗出"", ""惡風""]",[],"[""緩""]","[""太陽病"", ""中風""]",[],[],[],[],[],[],[],[],[],b2c0aea1569ad064aa1ed9c5a6252ed4bd541c5606b91b08490e6728b3ea5e86,pending,,text_match_multi
SHL_SONGBEN_0003,SHSRC0033,傷寒論（宋本）,songben,3.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,False,[],[],"[""發熱"", ""惡寒"", ""體痛"", ""嘔逆""]","[""不發熱""]","[""陰陽俱緊""]","[""太陽病"", ""傷寒""]",[],[],[],[],[],[],[],[],"[""或"", ""必""]",4bcbd6257419caf894f33fc8ac161ab9825eb7bdeef6c8e4460758e29d312610,pending,,text_match_multi
SHL_SONGBEN_0004,SHSRC0033,傷寒論（宋本）,songben,4.0,辨太陽病脈證並治上,太陽病,original_clause,A,傷寒一日，太陽受之，脈若靜者，為不傳。頗欲吐，若躁煩，脈數急者，為傳也。,傷寒一日，太陽受之，脈若靜者，為不傳。頗欲吐，若躁煩，脈數急者，為傳也。,False,[],[],"[""躁煩""]",[],"[""數"", ""靜"", ""數急""]","[""傷寒""]",[],[],[],[],[],[],"[""一日""]",[],"[""若"", ""急""]",cc28cc0586c1184ffe93e05f44dbfdcc22589eb5628b8b188a699683e83e5aa2,pending,,text_match_multi
SHL_SONGBEN_0005,SHSRC0033,傷寒論（宋本）,songben,5.0,辨太陽病脈證並治上,太陽病,original_clause,A,傷寒二三日，陽明、少陽證不見者，為不傳也。,傷寒二三日，陽明、少陽證不見者，為不傳也。,False,[],[],[],[],[],"[""傷寒""]",[],[],[],[],[],[],"[""二三日""]",[],[],10f3b6e00fadf5c809969e43409105c7de328cc55a8e4358898ad7de5b49941c,pending,,text_match_multi
SHL_SONGBEN_0006,SHSRC0033,傷寒論（宋本）,songben,6.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，發熱而渴，不惡寒者，為溫病。若發汗已，身灼熱者，名風溫。風溫為病，脈陰陽俱浮，自汗出，身重，多眠睡，鼻息必鼾，語言難出。若被下者，小便不利，直視失溲，若被火者，微發黃色，劇則如驚癇，時瘈瘲，若火熏之，一逆尚引日，再逆促命期。,太陽病，發熱而渴，不惡寒者，為溫病。若發汗已，身灼熱者，名風溫。風溫為病，脈陰陽俱浮，自汗出，身重，多眠睡，鼻息必鼾，語言難出。若被下者，小便不利，直視失溲，若被火者，微發黃色，劇則如驚癇，時瘈瘲，若火熏之，一逆尚引日，再逆促命期。,False,[],[],"[""發熱"", ""渴"", ""不惡寒"", ""身灼熱"", ""自汗出"", ""身重"", ""多眠睡"", ""語言難出"", ""小便不利"", ""直視"", ""失溲"", ""發黃"", ""驚癇"", ""瘈瘲""]",[],"[""陰陽俱浮""]","[""太陽病"", ""溫病"", ""風溫""]","[""發汗""]",[],"[""火熏之""]","[""發黃""]",[],[],[],[],"[""若"", ""必""]",c876043e54691a226aabdbe4f808e0efc25d1a77cd6a614f61b7616020035982,pending,,text_match_multi
SHL_SONGBEN_0007,SHSRC0033,傷寒論（宋本）,songben,7.0,辨太陽病脈證並治上,太陽病,original_clause,A,病有發熱惡寒者，發於陽也；無熱惡寒者，發於陰也。發於陽，七日愈；發於陰，六日愈。以陽數七，陰數六故也。,病有發熱惡寒者，發於陽也；無熱惡寒者，發於陰也。發於陽，七日愈；發於陰，六日愈。以陽數七，陰數六故也。,False,[],[],"[""發熱"", ""惡寒""]",[],[],[],[],[],[],[],"[""愈""]",[],"[""七日"", ""六日""]",[],[],1b4f8f9283f50ae7293c0882f282294d7efef92462b27f47acd410e586c5654f,pending,,text_match_multi
SHL_SONGBEN_0008,SHSRC0033,傷寒論（宋本）,songben,8.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，頭痛至七日以上自愈者，以行其經盡故也。若欲作再經者，針足陽明，使經不傳則愈。,太陽病，頭痛至七日以上自愈者，以行其經盡故也。若欲作再經者，針足陽明，使經不傳則愈。,False,[],[],"[""頭痛""]",[],[],"[""太陽病""]",[],[],[],[],"[""自愈""]",[],"[""七日""]",[],"[""若""]",56e4581be9835b49d53fdd1a2ce89af8f031d81c45607274c44e0e93f13cf0e9,pending,,text_match_multi
SHL_SONGBEN_0009,SHSRC0033,傷寒論（宋本）,songben,9.0,辨太陽病脈證並治上,太陽病,original_clause,A,太陽病，欲解時，從巳至未上。,太陽病，欲解時，從巳至未上。,False,[],[],[],[],[],"[""太陽病""]",[],[],[],[],"[""解"", ""欲解時""]",[],[],[],[],e6097189ddc4d8f0914da5bb6443f17602d01d9bd16a3db93a0f00b7ba5a1401,pending,,text_match_multi
SHL_SONGBEN_0010,SHSRC0033,傷寒論（宋本）,songben,10.0,辨太陽病脈證並治上,太陽病,original_clause,A,風家，表解而不了了者，十二日愈。,風家，表解而不了了者，十二日愈。,False,[],[],[],[],[],"[""風家""]",[],[],[],[],"[""愈""]",[],"[""十二日""]",[],[],27013c3a71795c2e18a6e842832988bb6c4c9a84a70def63d172782acb9b31f3,pending,,text_match_multi
