variant_id,source_id,clause_id,base_version,variant_version,variant_book,base_text,variant_text,similarity,notable_differences,candidate_confidence,candidate_source_level,manual_status,review_status,reviewer_id,source_resolution
VR_GUIBEN_0001,SHSRC0050,SHL_SONGBEN_0001,songben,guiben,傷寒雜病論_桂本,太陽之為病，脈浮，頭項強痛而惡寒。,"6.1
太陽之為病，脈浮，頭項強痛而惡寒。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0002,SHSRC0050,SHL_SONGBEN_0002,songben,guiben,傷寒雜病論_桂本,太陽病，發熱，汗出，惡風，脈緩者，名為中風。,"6.2
太陽病，發熱，汗出，惡風，脈緩者，名為中風。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0003,SHSRC0050,SHL_SONGBEN_0003,songben,guiben,傷寒雜病論_桂本,太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名為傷寒。,"6.3
太陽病，或已發熱，或未發熱，必惡寒，體痛，嘔逆，脈陰陽俱緊者，名曰傷寒。",0.923,"[""宋本獨有用字：為"", ""傷寒雜病論_桂本獨有用字：\n.36曰""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0004,SHSRC0050,SHL_SONGBEN_0004,songben,guiben,傷寒雜病論_桂本,傷寒一日，太陽受之，脈若靜者，為不傳。頗欲吐，若躁煩，脈數急者，為傳也。,"6.4
傷寒一日，太陽受之。脈若靜者，為不傳；頗欲吐，若躁煩，脈數急者，此為傳也。",0.963,"[""傷寒雜病論_桂本獨有用字：\n.46此；""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0005,SHSRC0050,SHL_SONGBEN_0005,songben,guiben,傷寒雜病論_桂本,傷寒二三日，陽明、少陽證不見者，為不傳也。,"6.5
傷寒二三日，陽明、少陽證不見者，此為不傳也。",0.909,"[""傷寒雜病論_桂本獨有用字：\n.56此""]",silver,variant_text,,pending,,text_match
VR_GUIBEN_0006,SHSRC0050,SHL_SONGBEN_0006,songben,guiben,傷寒雜病論_桂本,太陽病，發熱而渴，不惡寒者，為溫病。若發汗已，身灼熱者，名風溫。風溫為病，脈陰陽俱浮，自汗出，身重，多眠睡，鼻息必鼾，語言難出。若被下者，小便不利，直視失溲，若被火者，微發黃色，劇則如驚癇，時瘈瘲，若火熏之，一逆尚引日，再逆促命期。,"6.6
太陽病，發熱而渴，不惡寒者，為溫病；若發汗已，身灼熱者，名曰風溫。風溫為病，脈陰陽俱浮，自汗出，身重，多眠睡，鼻息必鼾，語言難出。若被下者，小便不利，直視失溲；若被火者，微發黃色，劇則如驚癇，時瘈瘲；若火熏之，一逆尚引日，再逆促命期。",0.983,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0007,SHSRC0050,SHL_SONGBEN_0007,songben,guiben,傷寒雜病論_桂本,病有發熱惡寒者，發於陽也；無熱惡寒者，發於陰也。發於陽，七日愈；發於陰，六日愈。以陽數七，陰數六故也。,"6.7
病有發熱惡寒者，發於陽也；無熱惡寒者，發於陰也。發於陽七日愈，發於陰六日愈。以陽數七、陰數六故也。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0008,SHSRC0050,SHL_SONGBEN_0008,songben,guiben,傷寒雜病論_桂本,太陽病，頭痛至七日以上自愈者，以行其經盡故也。若欲作再經者，針足陽明，使經不傳則愈。,"6.8
太陽病，頭痛至七日以上自愈者，以行其經盡故也；若欲作再經者，針足陽明，使經不傳則愈。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0009,SHSRC0050,SHL_SONGBEN_0009,songben,guiben,傷寒雜病論_桂本,太陽病，欲解時，從巳至未上。,"6.9
太陽病欲解時，從巳至未上。",1.0,[],silver,variant_text,,pending,,text_match
VR_GUIBEN_0010,SHSRC0050,SHL_SONGBEN_0010,songben,guiben,傷寒雜病論_桂本,風家，表解而不了了者，十二日愈。,"6.10
風家表解而不了了者，十二日愈。",1.0,[],silver,variant_text,,pending,,text_match
