source_id,title_zh,source_repository,source_url,upstream_collection,upstream_path,upstream_provenance_record,acquisition_note,n_files,characters,work_sha256,licence_status,licence_note
SHSRC0001,傷寒兼證析義,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,jingui,data/corpus_raw/jingui/書籍/傷寒兼證析義,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/jingui/manifest_*.csv; data/corpus_raw/jingui/書籍/傷寒兼證析義/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,70608,1d48baf994259ac56ed49c7e0bef561dedd2ed01058e9e8a7f2cb35d0218e700,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0002,中寒論辯證廣注,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/中寒論辯證廣注,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/中寒論辯證廣注/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,54967,dbfd48b5f44f0f98f2065bced1628a831557e35d9f0e2dccb6e2018e16d36aa4,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0003,仲景傷寒補亡論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/仲景傷寒補亡論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 27 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/仲景傷寒補亡論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,27,132202,5e5f546fedf86f443bfe2eb719d5b12439a02f31b18ef8544fe178cd999ace90,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0004,傷寒九十論,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒九十論,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒九十論/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,25380,cb0972055b2e814fcefc345088a0b6fa0e07041ae06cfdefc6c751e55c9c7f0b,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0005,傷寒來蘇集,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒來蘇集,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 6 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒來蘇集/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,6,109109,1f09559ee39c4c6d4d4544be51146cbdab6a2b1c81a82b1dc26600c5ce43bf3c,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0006,傷寒六書,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒六書,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 11 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒六書/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,11,102775,d524589465b879f816b6da7e547414cc920f3eba42909ed07456d239456ee98f,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0007,傷寒大白,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒大白,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 8 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒大白/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,8,123908,90466fcf1db98f47c69c6ca3b0ad97cdd7316c8cd063e840352fd753130fd78e,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0008,傷寒審證表,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒審證表,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒審證表/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,20060,7788e5e926479562865c38d0caeeea4cf2e7c1a2c39f17dfdff62c9ab7ea855f,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0009,傷寒尋源,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒尋源,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒尋源/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,84466,a29e4a2c910e3b2e08a0f4b58842acb9dfe0427af3e05990dc5aa75cbdc1e3f6,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
SHSRC0010,傷寒心要,"中醫典籍資料庫 (Database of Chinese Medical Classics), jicheng.tw",https://jicheng.tw/tcm/index.html,shanghan,data/corpus_raw/shanghan/書籍/傷寒心要_1,"data/shanghan/manifest/corpus_manifest.json (per-file sha256, 1 entries); data/corpus_raw/shanghan/manifest_*.csv; data/corpus_raw/shanghan/書籍/傷寒心要_1/index.txt <book> block",retrieved from the source repository and organised in the upstream bundle; per-file SHA-256 recorded in this release,1,4777,7b45c9a06dd851995ebf31a592ef009534ff4ab9ab4d830dcc7a9f162558a70a,not_stated_in_source,upstream terms of use are not stated in the source bundle; structured layers in this release are distributed under CC BY 4.0 by the dataset authors
